reviews,Fine- grained sentiment_score,review_category
  The product is not up to the mark what it commits and says. Also the Product does not come with Ear Phones. Its either they r removed or not given with the Phone. This was 1st and Last time i have bought a phone from Amazon and would not suggest people to buy it from any of the Online site visit a shop and take it as per your preference and seeing the product.,0.2023,positive
  The phone is good. But camera quality is very poor. Please oppo sovle ta camera quality by giving us software updates. Price is slightly overpriced. battery of the phone is really noticable. But again camera is not good as described.,-0.0724,negative
"  1. Phones design perfect.2. Fingerprint reader and face unlock is fast.3. Audio quality awesome.4. Lot of required and important features.5. 44GB space present in 64GB.6. Updated to Android 10 also.7. Camera decent enough under 11,000 but there is no nightscape mode choice in camera app in 3GB RAM but captures good picture in dark.8. Processor is also good.9. Battery takes almost 3hr to charge from 0 to 100% but long lasting backup.10. Good for multitasking and multimedia but not for heavy gaming users.11. A great choice under 11,000 but if price more than that than you have lot of other good choices.",0.9501,positive
"  Not even a month and the phone has problems. Screen is on and finger print reader, volume rocker and power not responding. Screen is unable to respond as well. Screen do not detect any touches. Regretting the purchase and sellers are clever enough to not to include a return more than 1 week from purchase.",-0.0772,negative
   So good product it supports 4K camera video and photos 720 p full HD and 4k it supports. Battery life is good two day battery life. But for charging full  for 2and half hour it will take.I like it sooooo much after Redmi 7.redmi 7 is not good in privacy and camera.So I buy this phone,0.6896,positive
"  Hello, This review I am giving after using phn for almost 3 month,1)It is very good phn in this price range,2) it has very good finger print sensor3) its processor is good No lag found till now4) camera is not good but it is ok for this price5) battery life is good but after continuous use or gaming it get hot6) over all this phn is good in this price range compare to redmi, Vivo, samsung",0.9447,positive
"  first time ordered an OPPO phone. quite impressed by its features and specs. True to its specs, phone is working great, good battery life, looks amazing. I ordered a white white. The best part is that i received a silicon cover and a set of earphones with it included in the cost Rs.11,999/- as these we never get earphones in the box. I like the phone, may be 6 months down the line, i will buy another oppo replacing my xiomi.",0.9741,positive
"  Very heavy phone, stutters slightly when scrolling and TOO MUCH BLOATWARE! Annoying! If this crap continues in the future I will only buy Android-One or iPhone. It's gotten completely ridiculous. Clean up Oppo!",-0.805,negative
  Dont buy any it.. camera blurred or take much attention during selfi.... cheat specs.,-0.4588,negative
"  All Ok with price 10990, But back panel is doesn't look too black it shines a lot with polished glass and lots of possibilities of straches if you are not using back cover then your mobile becomes damn old..... more over oppo occupies a lot of space in internal storage due to themes , software..etc... Over All good and takes upto 3hr charging time quite disappointing for Type C , looks bulky but standard mobile best exchange value ,Lasts up to 3-6years depends upon the user👍",0.7236,positive
  GenuinelyIt's useless camera phone even normal photos can't goodHorryble camera front camera 8mp can't capture better than my 2018 model MI y2Also very slow due to 3gb ram.battery good all day backup 5000mAhColour & Display is goodOverall better to go for xiomi at this price pointif you have budget get f series they perform betterHave you get some help.,0.5096,positive
  Country of origin is not India.This is made in China phone.,0,positive
"  Good phone in this price segment, quad cam , big battery, video stabilization, what more can u expect from a budget device.Reviewing after one day of use...Battery - 8/10Camera - 8/10Overall - 8/10No heating till now, works smooth, no lagging, overall a decent phone...",0.5739,positive
  It would be a great phone if it have full hd display yes it contains 720p resolution which is old in modelOther spped and hardware is okey for this deviceI have owned Xiaomi mobiles recently so i don't like its software as Xiaomi offers very easy excess to their apps but it doesn't,0.5872,positive
"  Good value for money. Bought in Amazon big billion sale for my Mom getting good value for an old product and she's totally loving it.I was also looking for Samsung M30s but it doesn't have any screen protection and also it failed in one of the drop test. Moreover there was no good deal for exchanging on the same so had to go with this. And trust me using 1st time oppo, I wouldn't regret it.",0.6689,positive
  Fingerprint is slow and the smoothness of the screen is quite slow rest day to day performance is good not good for gaming just a entry level processor still does the basic jobs wellBattery life is amazing almost 8+ hours of sot but very very slow charging due to 10watt don't know if it supports 18 watt or notCamera is decent in lit environment low light quality is below averageSound quality is quite good due to dual speakersRest os is neat and clean no major problems noted,0.9486,positive
"  I bought it for my Mom, we all know how our mom's use phone. They can easily spend a day or two by just simply looking at forwarded videos of their respective groups and surfing through fb. Hence my focus was to buy a long kasting battery life phone and I am happy to buy this one. Stunning performance, amazing camera. Processor is very fast and responds quickly as per the needs for which it was purchased. A perfect lower mid range phone.",0.9501,positive
"  Pathetic....This phone doesn't even support normal usage and hangs like anything.Pls don't buy this, as after just 2 month of purchase this phone started lagging for no reason.I'm not a heavy user, neither I play games on ph nor I use heavy apps still this ph hangs.",-0.6242,negative
  I got this phone from your website on 24th August 2020  it's been 34 days only that I am using it.The issue that I am facing after 10 days of use- it hangs a lotSecondly today on 29th Aug it's display turned out like showing in the pictures with this review.I don't want to go to the service center in this pandemic it's 60kms away from my home.Kindly replace this phone asap.I am hoping for the positive response from you.,0.8261,positive
  Excellent mobile phone with great features. Sound is awesome. Zumbo Battery backup but camera is average not better.,0.5173,positive
"  i bought it with exchange of my old phone, so the price was reasonable for 4gb ram 128gb rom specs with snapdragon processor. few points.... 1. battery charges slowly(around 3hrs for full charge) but runs for more than 1 day with wifi, mobile data, gps, videos and other functions, 2. touch response is ok.... 3. not using it for gaming so without gaming no lags... 4. display is normal.... 5.  camera is ok.....overall good phone for normal usage not for gaming",0.3535,positive
"  Respected sir, Camera may be increased high quality and pixels resolution also,then,data icon can be click ,It may be go to the particulars settings position.Next,It is swipe top to downward the hotspot shortcut key may be provided in the desktop...Thank you sir,",0.7184,positive
  Good Phone,0.4404,positive
"  I have used Samsung, Redmi, Sony, Vivo phones, but I had never experienced such a sound system, it's great and First time I bought Oppo phone and its awesome. Just go for it.",0.9231,positive
  Good phone with exchangeDesign- 5 starPerformance- 4 starCamera - 1 starBattery - 4 star,0.4404,positive
"  writing this review after two months of usage:Great phone at this price,but don't think massive battery lasts for 2 to3 days,it lasts for only 1 day.Camera is good for this price, finger print is too fast, front camera is average,display is good for this segment, charging takes moe than 2hr30 min to full charge,better than vivo at this price segment,processor is doing it's job well for games.Over all a good phone🙂🙂",0.935,positive
"  Had gifted my aunt as I was working on budget.  However, I don't like it's camera not picture quality.Although it is still working strong but my aunty's usuage is minimal.",0.1518,positive
"  nice built phone, everything tremendous with economical budget purchase. Next we will update in near future about performance and its life durability about storage /RAM/ROM /SPEED.ALL app working nicely. camera image are also satisfactory.",0.802,positive
"  Super phone in this price range.Good quality of camera, sound etc...Finger print and face recognition readers still not checked and tried, based on the mobile performance  hopefully they also work well.Excellent product. Protective case given with this pack also excellent.",0.8834,positive
  Please do not buy this phone.  I got a broken phone.  It is not yet ready to be replaced or remedied.  They provide a very poor quality phone,-0.7433,negative
  camera quality is too poor,-0.4767,negative
"  5 🌟 , good opportunity with to exchange. Happy with this.",0.8555,positive
  Battery heats up a bit if used for a sometime and during charging. Battery life does not look like 5000mAh if we see it getting low compared to iphones with way lesser mAh. Camera is fine. Apps and OS looks stable prima facie.,-0.0541,negative
  fingerprint and faceunlock very fast.dolby sound osmmm.video quality average .battery best.day light camera good but not good for night  realy .pubg play smooth no problam .mobile look and fell osmmm.,-0.2165,negative
"  Very Good phone in this budget.Nice get up.phone quality,battery back up awsome.This white colors fells good.Quad camera quality are awsme.....Enjoy it...",0.4927,positive
"  Bkwas phone totally don't buy, this phone its over weighted phone , and over price camera quality very bad 8 mp only ,and price 14000  , better than u can go for realme 3 pro , redmi note 8 , honor 8x , honor 20i, ...etc.😒",0.6712,positive
  Camera is up to mark with exchange price of mine at 8 k but not worth of for 14 k price. Battery backup is almost good for a day use of normal (without accessing high games)  .,0.3424,positive
  i just bought it 6 hours agocamera quality is not even descent.it doesn't even supports google payadd 2k more to your budget and you can get something better  buy this phone on your own risk.,-0.0798,negative
  Bought for 7k with exchangeReviewing after one monthBattery backup is good compared to my old device Moto e5 plus.Dual Speakers r of very good quality.Dolby surround is awesome.Camera clearity is just ok.C type charge supports little fast charging.Build quality is good.Better to buy with exchange.,0.8221,positive
"  The best value phone at this price. I was sceptical about its camera quality..but the camera clicks decent pictures. I exchanged my xiomi redmi 7A and got it for 7200. Trust me it's worth every penny. It is quite smooth, good display and great sound quality. Build quality is quite solid. Highly satisfied at this price...pics attached for your reference guys.",0.9688,positive
"  The Battery life is wonderful, it last's two day's in standard use, no gaming. The UI lag's some times, but I can tolerate that, but when it comes to the both side camera's it's avarage, not a good one and also absolutely not a better one !! Details are so low!!!! But other things are good. Considering the price point it's a avarage choise.",-0.7778,negative
  The product is very bad. It hangs a lot and I have bought 1 month ago. I can't imagine so dirty product in terms of phone lag.I would recommend no one to buy this phone.I want replacement for this phone at any costIt would be great OPPO can replace my phone as I have purchased recently one month ago.They have fooled us badly.,-0.8193,negative
"  As I heard of, that Oppo phone near are good,same I foundTough quality with white color..apprantly seems uniqueFast charging support, 5000 mah charged in 1 hour+ time.C type pin never fails or damage- it is my one day review only, but looking it is best phone I purchased..",0.8667,positive
  I was looking for good mobile and finally in doubt I bought this though i was already using Oppo brand....And seriously I got love with this mobileIf u r looking for some mobiles below 15K then this may meet your needs....Camera 4.5/5Fingerprint 5/5Battery life 5/5,0.5994,positive
"  Excellent phone, nice features, great pics, nice specs",0.9246,positive
  MOBILE IS GETTING HANG 3THRICE IN A DAY AND CAN NOT WORK FOR 30 MIN WHEN HANG,0,positive
  Very nice and hardy phone... But charging pin is different than other smart phones... Made in india... Thats make very satisfied to me,0.8938,positive
"  I was tried Redmi 9 on flash sales but no luck and I hated flash sale :) I bought this phone but no regret, it works as expected I liked.",0.1724,positive
"  A good choice mobile in tight budget segment Decent camera,Good battery life and sound quality only drawback i found i.e, fast charging..",0.4404,positive
"  dear sir / madam,please note that we recieved the mobile phone today  morning .but please note that unfortunately there ois no headphones provided .pleases take action on the following  .",0.34,positive
"  Network LockThis phone has Network Lock. This can be used only in India. After writing so many mail to customer service, there was no one to solve the issue. But they give only false hope.If you are a frequent traveller, get it solved before leaving India. I ended up with buying a new phone in my destination.",0.3506,positive
  please return or replace this delivery product today . very poor camera quality . Worthless . I am not getting return option,-0.6115,negative
"  I have got this phone with exchange Mi4 ₹ 7.6K.Delivery is very fast, happy to shopping with amezon.Oppo A5 2020 good phone.camera and battery quality is good,classic finished, excellent features... happy...***",0.9358,positive
"  Excellent mobile from OPPO.picture quality is  excellent.worth to purchase the 4/64 mobile with quad cam.Huge battery of 5000maH,which is long losting.As compared to other peers ,this mobile is the best.",0.836,positive
  Order delivered fast. But not happy with oroduct. It gets heat enough. Battery drains very fast. Hangs and reboot auto between 2 to 6 hrs.Talk to amazon they said if technician says then only it will replace. They have scheduled technician at monday.,-0.4492,negative
"  Good looking phones with average quality camera and performance, but dual speaker sound is impressive.... But its price (comparing to its features offered) is high.",0.7506,positive
  Poor camera and build quality.Pathetic display. Very heavy.Only plus is the battery. Not very suitable for gaming.,-0.4767,negative
  First time ordered it was not working. Apps were not working n touch screen issues got it replaced still faced same issue. Got it remotely checked by amozon technical team so found ter is issue with the phone so got it cancelled n waiting for refund,-0.3102,negative
  Excellent product. Worth it.  Continue to provide best services like this. Best wishes for your image development.👌👍,0.9751,positive
  12MP+8MP+2MP+2MP this is nothing but a worst camera quality. Oppo is famous with good camera quality but now a days they are cheating customers with the name of good camera.,0.8042,positive
  Awesome👍 product.Battry is awesome😊👏But not a fast charging 🔋⚡3 hr. To full charge from 15 %Camera is awesome in this bujet.Value of mony.Thanks to amezon for fast डैल्वेरी।,0.9601,positive
"  Though it's purchased for my aunt, camera battery Dolby atmos and UI are pretty good.If u are a camera lover go for it undoubtedly best and no issues of lagging",0.836,positive
"  the reason this phone is so high on specs and low on price is because Oppo has integrated advertisement popup on various random apps, so if you are okay with that its very good phone, also camera is average despite having 4 cam setup on the back.",0.4576,positive
  ProsBig bright displayGood ram managementNo heating issuesNo adsCon'sCamera quality poorNo fast chargingNo android10Non full HD display,0.4404,positive
  Duel speaker sounds quality superbest Dolby Atmos,0,positive
  Good mobile in budget...Sound quality 👌👌👌Battery blackup superbCamera 👌Overall value for money product,0.9699,positive
"  Smooth screen ....good fingerprint sences, good camera clarity...but at night a little blur images...but that's ok",0.7906,positive
"  Sound Quality & battery is very good, camera quality is average, software slow. This is only for Normal user. Color & build quality is good.",0.7264,positive
"  Take is taken to full charge time,10 to 100 percentage more than 3 hrs time, when I opened my new phone it is getting hang and apps r opened not fast,so my opinion is not a gud phone",0,positive
  Amazing product and great camera quality stylish look,0.836,positive
"  Regarding Parcel - Worst &  Poor Packing., Missing headphone.About phone : Average. Takes long time to charge and over heating. Compare to this OPPO A5 2020 my 3yrs old Moto G5 plus is 1000 times better. My suggestion is to buy MOTOROLA product.",-0.7579,negative
"  Thanks for delivery within 24 hoursOverall good phone camera quality struggles in low light and have slow image processing so i suggest you if you are a normal user buy 3gb varient, if you are a havey user then spend more money and consider other products thank you.",0.5719,positive
  Camera is extreme bad.I have oppo a37f and it has better camera quality than oppo A5 2020.Disappointing mobile.It has1.Bad camera.2.Bad display.3.unsatisfactory performance.4.High price as compared to phone quality.5.Non hd display,0.4404,positive
"  Not as expected, the phone lags. I have not installed heavy Apps or Games. This is the first I went for oppo, a bit disappointed.",-0.6808,negative
  Value for Money Quad Camera Phone and looks stunning as well. Only draw back is the heavyness of the device but it is what now generation phone are weighing.,0.4678,positive
  Excellent phone in an affordable price... just luv it...good features. Good camera. Earphones also available,0.765,positive
"  A superb budget phone. Got it for Rs 8250/- after exchange of my old phone. For that price, the phone is really satisfactory. Camera is good and the battery life is excellent. Overall very happy with oppo A5 2020.",0.9551,positive
  very like oppo a52020 but dolby speaker not loud finger print work only 2 time than not work and bettery life very very bad charge 90_%  calling after 10 minute bettery down 8 % also power sever mode i want to return item dont buy any oppo phone for west money amazone no retune phone and bad service,-0.9155,negative
  One of the best phone ever bought by me. Review after one year of use,0.6369,positive
"  Best mobile at this price.... good working..  if night mode is also included in this mobile,  then it will be more  awesome...",0.9099,positive
"  Yesterday I got my Oppo A5 2020, as per details it was mentioned that in box headset is also available but after delivery it was found there is no headset. Sound quality of headset from other companies are not good with Oppo A5 2020.",-0.7104,negative
  Fingerprint reader working too fast.Battery life is duriable.Camera quality is good.Overall I think that this phone is good for this price.;,0.4404,positive
  WITHIN 2 MONTHS THE PHONES GETS HUNG EVERYDAY AT-LEAST 5-10 TIMES(WHEN I TRY TO UNLOCK)PATHETIC PRODUCT I NEVER SEEN.I STRONGLY RECOMMENDS NOT TO BUY THIS STUPID PRODUCT.,-0.8584,negative
  I bought for my mom....only for the battery and big screen are really fantastic..battery life is very good... Where she can watch serial on her mobile.. Enough for her 4gb ram and 64 inbulit... Camera is ok... Fingerprint is slightly slower... Need fast and quick...,0.4927,positive
"  I just bought this phone and found everything great about it except one thing - size of the phone. I wish I could get the same configuration in a phone with size of around 5"" and that too should be pocket friendly.",0.875,positive
"  The mobile is so good. I have not expected such good camera quality and was confused between Red Mi and Oppo. But after using Oppo, i can say I have made a good decision by buying Oppo.Delivery was so fast, i got phone within 24 hour of order.So overall good experience.",0.8279,positive
  Nice phone and good display.dolby sound is awesome. Battery is amazing.worth buying.,0.8689,positive
"  Camera quality at night is very bad,battery life is good but it does not support fast charging and display is hd+ not full HD+ but it's ok sound is amazing Dolby atom is good .overall  good but camera is bed",0.9409,positive
  The battery is standing for 36hrs after full charging. But the charger is not fast charger. Camera quality is ok,0.4215,positive
  All good gamming performance good free fire pubg lite handling nice pubg mobile I am not playing camera normal mode worst go to camera setting ultra hd camera mode available this mode photo quality good sound superb battery full charge time 2h 30 min. No heat mobile not bad good mobile,0.8765,positive
"  I liked the overall quality of the mobile.. Battery backup is superb. Display, processor, speed, are well balanced with the performance of the device.. But camera quality could have been better.. I was expecting better quality cameras.. But they are OK... At this price... Design and looks are elegant, attractive... Everyone loved it...",0.98,positive
"  Best phone in this range ..my wife big fan of oppo. Look wise very nice ...i bought this phone for my wife,,batry is good..camera quality better than other phone like,, redmi or realme..bcz last time i was used redmi 6 pro.....",0.9524,positive
"  Excellent product @ this budget price point. Build is solid, interface is smart for ease of use. Its a good buy...",0.9081,positive
  It's camera and build quality is very bad compare to other manufacturers and again this cost more than those product. I don't understand why they make such bad products and price is also fluctuate a lot. I buy it at 12500 and now this is available at 10990. So this twice before buying this.,-0.807,negative
"  Great value for maney owsom camera,awsome music,display quality is far better than redmi mobile and other mobile included samsung for this budget range total value for maney",0.902,positive
"  Dealer not good......headphone mation on box, but headphone not availabe in box.",0,positive
  Good Budget phone within 15k,0.4404,positive
  The phone is sooo good at processing and back camera is awesome! But I dont like the front camera 👎 it's not as much as I expected..battery is good..its fast charging..worth buying thz mobile !👍 Some times it hangs idk why 👎  other than that its so niz with all the futures,0.2069,positive
"  Mobile is good in this price range ,except camera performance. So many cameras are there but picture quality is not good.",-0.2867,negative
"  Very good phone in this range, only blemish in fast charging is missing..was expected in 2020 model after having set the bar high with fast charging...still other features are top notch!!",0.6785,positive
"  Comes with factory fitted tampered glass,  immediately you can do android 10 with color 7.1 update, takes 2 hours for full charging,  it comes to 24 hours with moderate usage.  Cons.. camera is over hyped,  and  internet disconnection observed occasionally",0,positive
"  No, dislikes only likes, so for it's good .we are using for online study purpose mainly. Finger print reader added a extra privacy, camera & battery life is excellent. Totally good choice for the online study and general purpose too",0.8795,positive
  Worth for price..camera lens perfect...Sound effect is tremendous..Headphone inbuilt🥰..Back case inbuit😃..Battery life perfect..Highly valuable...,0.8591,positive
  Worst phone it drains the battery very fast battery is defective.and the headphone jack is also defective doesn't connect any headphone .dont waste mony for these phone.Amazon service is also the worst if the phone having replace policy they doesn't replace it .,-0.8679,negative
  A budget smartphoneWith great processorExcellent gaming (PUBG)Superb camera features with great clarityFast Fingerprint with face unlockDolby Atmos sound systemAnd fast charging compared with 18watt vivo charger,0.8481,positive
  Well this is one of the best budget mobile with good build quality and features.,0.8481,positive
"  High performance, happy to use the next generation specifications. Really more than the money spent",0.5719,positive
  No problems until now. The only thing that disappoints is the camera quality. The marketing shows that camera is good and all but it’s not.Otherwise the phone is good as per the price,0.6837,positive
"  It is Good For House wife women,Who doesn't have gaming interest.Battery life is very excellent. Back camera is some have better and fornt camera is disappointed. Charging also some delay.",0.659,positive
  Very nice mobile.we can say that it is value for money mobile . Battery life is good.. I play freefire that after it give me a backup of 1 day. And without playing game it give me 2 days back up .so battery is excellent.Camera is good but not excellent.,0.2625,positive
  Very nice smart phone and big screen size looking very hot also in budget,0.7245,positive
  Camera seems ok for normal photography.Should provide fast charger takes too long about 2-3 hours for full charge.. battery backup is good full day with full charge and about 30% left end of the day.,0.6249,positive
  when I ordered it  I thought that it will not give me that type of performance but seriously I just loved it. The color is also fab. and the camera quality is also good but not the best I think. Overall I only say that just go for it,0.8224,positive
"  Good Mobile. I was the Redmi user before this mobile. Compared to redmi, oppo's quality particularly this mobile is not up to the level. Overall it is good mobile but not very good.",-0.1366,negative
  Very good facial unlocking. Works fast and even in dim lights. Huge battery.,0.6697,positive
  Awesome battery life. Camera is not up to mark. Everything is ok.,0.6249,positive
  Product was as detailed... But the sreen protector was scratched and there were multiple cracks on the screen protector of the mobile... Completely unpredicted from Amazon.,0.3497,positive
"  Everything are awesome. Sound quality are superb, double Dolby sound.",0.8481,positive
"  Received defect item, requested for replacement. Tear at the bottom of screen. Is it really a Gorilla glass ?, Company claims it is Gorilla glass but i dont think so.Product is good.",0.4854,positive
"  I bought OPPP A5 after doing lot of research.ProsBattery back up,Good performance, Not tried big games thoughCons:No Notification lightThis is good phone in this segment. we can go for it.",0.4404,positive
  There is a defect in the screen. A technician is expected to visit in 2 days and check if it's eligible for replacement. Will update then,-0.34,negative
  Too much heating issue and no battery backup i was return this product 2 time,-0.296,negative
  Product is good and received with good conditions. Delivery boy is also cooperative ..got my product as per my conveinient time and place.  Thanks for providing delivery boy z contact number which is very much helpful for the customer.. Thanks and regards,0.9322,positive
  Camera quality good battery life good not for gaming you can’t play pubg . Pubg lite lack in this device without gameplay mobile is value of money,0.8074,positive
"   purchase new mobile phonefrom amazon through you are maintion that in you sure description handset also in these products but still i am not received any things ,please find obve attachment video",0.775,positive
  I am not satisfied in product so also in refund return my product,-0.3252,negative
"  Very slim, good looking, touch is good, camera quality is superb,sound quality is good, over all phone is good at this price",0.8974,positive
  It's a great phone  oppo A5 same all features features and battery backup is coming upto 2 days of once full charge with using mobile data display is asumne like MI NOTE 7 PRO and for the cost its a superb phone to buy no hang problem,0.8947,positive
  Just go for it overall good mobile at this price range if people now also say that this is not good then they can’t find good features nd every thing,0.5258,positive
  Value for money phnCamera quality is good not very good.Battery is awesomeLook by dhasu,0.6486,positive
  Good phone but they didn't provide earphones nice battery good display but poor camera performance good gift for parents ☺️ pubg performance is awesome and Dolby Atmos gives better feel in music thanks oppo for this beautiful phone.,0.9863,positive
   Nice product all are ok but camera quality upgrade much more and main importan a fablous head phone is in the box and a quality back cover this phone act as a dolby speeker. Speeker quality very good,0.7776,positive
"  Renewed product, because its screen has no proper finish at its edge, I compare it with another set of same onba mobile shope. U r cheater Amazon!!",-0.6792,negative
  Camera would hav been better.Battery life is good but no fast charging a let down.Sound is good.No earphones.,-0.2144,negative
  Too good vs price or can say unbelievable phone at this price 11990.👍👍,0.5719,positive
  * Fingerprint reader goes sometimes 2/5 🌟* 🔋 Life better' 3/5 🌟 although having 5000mAh* Camera quality 4/5 🌟,0.4404,positive
  Very good mobile. It is value for money. OPPO camera quality is also good as well as battery life. I recommended to buy this phone if u go for this range of budget.,0.8858,positive
  Best value for money mobile phone. Everything in a nice package. Camera would have been a little better but at this price point nothing better can be expected. Overall good buy.,0.7747,positive
"  I gifted it to my mom as birthday gift...she really felt happy. Features, speed,power backup, look is what she needs and this phone really caters all her needs.",0.6096,positive
"  A good phone in this budget, I bought this for my maid, a good phone and value for money.",0.802,positive
  Best phone in it's budget comes with Android pie and really good camera it's better than my 25000 phone which I bought 2 months before it.,0.8832,positive
"  LOOKS WISE TO GOOD, Camera & Battery is also good.. I like it.. superb phone in this budget.👌👌🤗",0.9849,positive
"  I've purchased Oppo first time and I would say This is the best phone.Camera Quality better than Mi and Battery performance is also good,Specially it's Back design is too good.This phone is little be costally against Xioami but honestly this is the best.",0.9366,positive
  Great phone,0.6249,positive
  Oral best in price good mobile build quality in very good,0.8832,positive
  I am not expected the sound quality of Dolby atoms' I am enjoy to hear the songs to this OPPO A5 device. Overall this device is best in this price range. This one device  is my best choice. Thanks to Amazon and Appario.,0.9451,positive
"  Fingerprint reader is small in size hence take some time to search , performance is good 4.5*Battery is also Good 4.5*Camera in low light some improvement required 4.0*",0.7717,positive
"  Phone touch is very bad , Very Slow responding....not user friendly.....no notification lights....it's just in 2 days only",-0.5849,negative
  The look of the phone is goodBut when it comes to charging it take more than a hourThe camera as such is not goodAnd sound quality is also not lowOverall it doesn't value for money,-0.2584,negative
  Good product but the front camera is very very poor. Back is alright with flash.Looks wise amazing phone. Battery life good too. Buy it if you're not a huge fan of selfies and can compromise on camera.,0.8297,positive
"  Oppo, camera phone.Worst quality of camera.Very bad experience with oppo A5 2020.Please, friends don't buy it,  go with samsung.",-0.1027,negative
  The phone is good but the camara quality should be more of it will be increased the phone is excelentI have booked another phone because the phone superbAll should purchase it,0.5574,positive
"  It does what it said 👍Proudly, Indian 🇮🇳✨",0.3182,positive
"  most of the phone are not available.By lots of research i choose this phone from all which are available on amazon.big battery life, Big display, good processor, Best sound quality, overall a good phone.",0.875,positive
  finger print and camera is good.Phone looks is actually good.Battery performance is good but charging system is not good.I connect the plug with phone after 1 hours charging this phone is hot.why????,0.4423,positive
  My marks: Finger print sensor  -3.5/5 Battery life - 4/5 Camera quality- 3/5 Sound quality -Dolby sound not bad - 4/5 Display- average -3.5/5 Video quality - Not satisfactory- 3/5,0.1877,positive
  not includ ear phone.,0,positive
  OPPO A5 2020 IS A GOOD DECISION TO BUY MAINLY FOR BATTERY BACKUP NO HANGING WORKING FAST SOUND IS TOO GOOD. CAMERA IS NOT BEST BUT OK.OVER ALL BEST BUY IN PRICE SLOT AVAILABLE.THANKS,0.8446,positive
"  Not 64 GB,Only 46.6 GB Available Storage",0,positive
  Very nice product as always expected from Amazon...,0.5849,positive
   Battery is awesomeFinger print reader is goodCamera quality is good,0.4404,positive
  Nice Looking And Good Product... All Function Are Properly Working....,0.6908,positive
"  I like all the features but only dissappointment thing is ear phone is missing in the box but oppo providing earphone but i wont get, inthe box.where is my earphone ,amazonIts really bad.but camera is exeiLlent",-0.2617,negative
  Very disappointing...headset missing in the package Inspite of declaring that there will be headset in the package...,-0.3566,negative
  Do not waste your money in it.Facing charging issue within 15 days and now visiting oppo  service centre on daily basis but issue not resolved yet. Now saying wait for 1 week to change some part in the phone.,-0.0286,negative
  It's a good mobile in this price.Go for it,0.4404,positive
  Wrost camera but if you ignore camera quality then go for it during this lockdown situation.,-0.5023,negative
  I have bought two phones one for me one for my sister however when I went Tunisia both phones didn't detect foreign sim card .I need to unlock network using code that only the retail shop has it not able to contact you,0,positive
  Lovely mobile,0.5859,positive
"  Camera is very gud with some special features like...night mode,ultrawide,slow Mo,and for both front n back camera potrait mode is available...easy to use... definitely I would suggest to go for it... without any hesitation.♥️",0.4303,positive
  Am really trusted on amazon Awesome phone lovly design white colour is so cool phone price on amazon is low then other online shopping sightsThanks Amazon,0.9144,positive
  Don't buy this phone when you have Samsung M series.,0,positive
  Ordered for my niece. She is in love woth the phone.,0.6369,positive
  Notification senser not available in this phoneBattery quality not so goodCharging speed very slowPhone heating problem alsoThis is bad experience for me regarding oppo A52020 phone,-0.7553,negative
"  Fingerprint reader, battery life,camera quality is good...but i want to ask u why it heats while charging.. it heats too much why ??",0.168,positive
"  First time experience dolby-atmos😍. And i love it. Although a perfect smartphone at 12k. Battery life super, display looks awesome, phone look damn good in white, only the thing missing is Fast charging.",0.9578,positive
"  It's really worth for 12,000 guys. No heating issues, pubj can play 1.30 hours without any heating ,lagging. With quadcamera, sd665 processer,dolby Atmos speaker for this was awesome deal. Don't miss it🤗",0.752,positive
  Value for money . After using I would like to give this phone 5 Stars. Detail Review is :Touch - very smoothBattery - AwesomePerformance- Very Good after using all typical apps,0.796,positive
"  Device is awesome. Camera is good, battery is good.",0.872,positive
  Good at this price point with a processor of SD665.,0.4404,positive
  All things are excellent expect camera could have been better,0.765,positive
  Phone has hanging prob. And suddenly phone stopped workingSome times its lock not openBut look is pretty good..Battery life is better than other but chargig time is too long,0.3818,positive
"  I am posting my review after the use of 2 months,so honestly telling mobile working very very well in all aspects specially its dolby sound & signal strength is decent enough but still rate should be under 10k.",0.6041,positive
  I don't know yet but I think this is budget friendly.Don't believe if anyone says battery will get charged within 1&half an hour.. believe me battery takes 3 hours to complete charge.,-0.296,negative
"  The camera quality is average, battery life is good, UI is excellent but the price is bit higher in comparison with other phones available in 13K",0.5106,positive
"  It is not supporting indian language.if i select other country english language,then indian date format is not supporting in ms excel app",-0.2052,negative
  All ok but camera not ok speaker good display ok,-0.2596,negative
  Everything is awesome from oppo.The best part is the stereo sound with dual speakers. It's too smooth ..Doesn't feel like 3 gm ram ..It's too fast ..Good work oppo,0.8776,positive
"  Excellent phone, the sound of the phone is awesome and the battery life is awesome, satisfied with the product",0.9403,positive
"  Good, using since 2 months,no problem at all.",0.0516,positive
  Better to wait some time and buy good phoneIts battery backup is so badIf you spend extra 1000 rupee you can buy redmi note 9 which consists 48mp ai quad camera with 5000 mah battery,0.7003,positive
"  Best smartphone in budget , camera quality is also very nice , fingerprint is also fast and good and it's gaming performance is also smooth and goodI loved this phone ❤️",0.9336,positive
  Good product,0.4404,positive
  Perfomance is very bad....I suggest never buy this phone ....hate this product ....it have no return policy also ....they are making fool to us ...by selling this type of product ....,-0.8316,negative
  Phone design is superb also the phone functionality easily User friendly.but camera not that much quality also phone hanging whenni took photot it's loading 3secs then only can take next photo,0.7579,positive
  Phone is amazing video playback excellent and sound. I never feel hd screen look like full hd screen,0.875,positive
